	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0125413856026727	1.01262035857727	0.124706536738777	0.100567187018778	0.919894045575851	0.793042127106988	1.29299561215722
BRCA	0.0548823856309339	1.05641635762506	0.144237849740798	0.380499194417833	0.703574894421466	0.796268685839685	1.40155646015506
CESC	0.0139156448381795	1.01401291810684	0.187214341660177	0.074330015076722	0.940747794506272	0.702564742270422	1.46352661359682
CHOL	0.0707409031004879	1.07330310033365	0.568655763488286	0.124400221790674	0.900998397749397	0.352112725082903	3.27162145280206
COAD	-0.0762739740166484	0.926562317781629	0.239839786975364	-0.318020521025909	0.750469370841608	0.579058761558126	1.48260899536823
ESCA	-0.185534913214399	0.830659834069778	0.243636001651454	-0.761525028964419	0.446343535142828	0.515275947315505	1.33908008617826
GBM	-0.255385249766198	0.774618019059573	0.218968424805723	-1.16631085049265	0.243488787785177	0.504314359522901	1.18979970354092
HNSC	-0.00607245255567277	0.993945947520977	0.110536562964115	-0.0549361441394209	0.956189336485896	0.800338804821915	1.23438791252062
KICH	-0.508929211413393	0.601138927007847	0.64105648251332	-0.79389137353091	0.427258672099169	0.171122290458677	2.11175299603303
KIRC	0.453042646145986	1.57309127136372	0.187154244556509	2.42069127109321	0.0154910273296952	1.09005381574067	2.2701779603049
KIRP	0.860660158550674	2.36472126950141	0.339537399345894	2.53480223447757	0.0112510824402745	1.21552864925241	4.60039069080895
LIHC	0.202968880518866	1.22503434522112	0.118115887871866	1.71838762909737	0.085725935278057	0.971869244478608	1.54414717360096
LUAD	0.396342394156881	1.48637815763057	0.127273457080265	3.11410095434846	0.00184506347447187	1.15822771175145	1.90750057615213
LUSC	0.0371054543266293	1.03780245582701	0.137380290365068	0.270092996804906	0.787088709705296	0.792823252365682	1.35847925008109
PAAD	0.237712577831833	1.2683445900779	0.303536579814808	0.783143099183842	0.433543084381377	0.69962682964417	2.29936579190089
PCPG	1.93479181327859	6.92260271138705	0.823415543947679	2.34971494951707	0.0187877928174164	1.37840495756112	34.7665815019231
PRAD	3.05567959410901	21.2356122211754	0.826896254425871	3.69536030397263	0.000219575183094214	4.1996144207145	107.379197524379
READ	0.0747347482451673	1.0775982781379	0.385022234669775	0.194105019179647	0.846093651635383	0.506670207699011	2.2918617108342
SARC	0.154887435415225	1.16752653156887	0.17332116844762	0.893644075922752	0.371512355913843	0.831257376970471	1.63982689318817
STAD	-0.345352832175448	0.707970514617974	0.145565360166779	-2.37249323451518	0.0176684867088022	0.532242697425538	0.941717475867408
THCA	-0.0137961328138177	0.986298597687914	0.69171688837263	-0.0199447679328391	0.984087432591276	0.254224810801415	3.82647516084111
THYM	-0.492368894079262	0.611176864715177	0.301217961406482	-1.63459340797685	0.102134310470074	0.338664529544258	1.10297101519827
UCEC	0.147404359030088	1.15882244862665	0.139564527775839	1.05617352330988	0.290888944766036	0.88149399543137	1.52340171844724
