	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0858352439457177	1.08962679090489	0.15030104873306	0.571088789261638	0.567939457520767	0.811598598060251	1.46289871162338
BRCA	-0.0422793279578815	0.9586019788388	0.15291634953479	-0.276486641791449	0.782174318236943	0.710355403632149	1.29360282069385
CESC	-0.0627672857749122	0.939162004618656	0.271983110457904	-0.23077640986324	0.817488508790062	0.551097030360111	1.60048997241553
CHOL	0.158859752955218	1.17217354127716	0.482103172372872	0.329514017037728	0.741767200935156	0.45564325930587	3.01549684497341
COAD	-0.072464018862966	0.930099212085418	0.222026670070693	-0.326375290139214	0.744140430479494	0.601921466917298	1.43720500408864
ESCA	0.193179221412468	1.21310018756678	0.241775929087955	0.799001050853957	0.424289802657009	0.755260246385177	1.94848341630317
GBM	-0.0293845500198045	0.97104297806266	0.202479681177608	-0.145123450653942	0.884613403342905	0.652961289333198	1.44407406786352
HNSC	0.0564121647965064	1.05803367811531	0.15488522799938	0.364219141651986	0.715694374257852	0.781017826780633	1.43330308943208
KICH	1.04596480667362	2.84614317734035	0.692694823522348	1.50999368142366	0.13104503647075	0.732206940255387	11.0631715442299
KIRC	0.748947564266383	2.11477318215274	0.180086620693825	4.15881846958365	3.19897994801912e-05	1.48584595037321	3.009912037536
KIRP	0.751047109370647	2.11921790815259	0.328342724825908	2.28738769762255	0.0221732037263946	1.11349887136904	4.03330857148771
LIHC	0.682641689973173	1.97909899869118	0.182459177691999	3.74133928809824	0.000183042211899444	1.3840697772989	2.82993885919855
LUAD	-0.0225636156405972	0.977689038900451	0.160636227122305	-0.140464053749331	0.888293351828247	0.713619882816857	1.33947480977265
LUSC	-0.036602016069091	0.964059739294563	0.124636779146377	-0.293669463538563	0.769010490485282	0.755114704830471	1.23082119177822
PAAD	0.636182302505358	1.88925449186095	0.243854416142574	2.60886110888967	0.00908441059545099	1.17144312555838	3.04691064990067
PCPG	-0.379846685877981	0.683966262861459	0.693673300758073	-0.547587294282294	0.583975315635104	0.175621990953664	2.66373161010398
PRAD	1.29423276566399	3.64819587897121	0.820805377894028	1.57678397403371	0.114845240394849	0.730142021819075	18.2284169019387
READ	0.35798026637663	1.43043739248862	0.440381441144747	0.812886813409031	0.41628295558566	0.603414152629528	3.39095648471789
SARC	0.524667117387258	1.6898962176711	0.178556042956151	2.93838902733806	0.00329922746615491	1.19089330737445	2.39798914715131
STAD	-0.139882721023445	0.869460198821879	0.199193040822067	-0.702247028541516	0.482525121675367	0.588431999973919	1.28470415845652
THCA	-0.388289940186384	0.678215672775569	0.847175624376462	-0.458334646339918	0.646712036444041	0.128899318957684	3.56849440724681
THYM	-0.117325910091991	0.889295315610849	1.02126546608499	-0.114882872268029	0.908537961149783	0.120155391795343	6.58186159231557
UCEC	0.198497725107621	1.2195692530223	0.202144350711525	0.981960289312722	0.326119412120847	0.820617706284486	1.81247510445715
