	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.059547205246415	1.061355861362	0.140220325195468	0.424668857124713	0.671078089494853	0.806315977197567	1.39706553795777
BRCA	0.102721843120764	1.10818311744371	0.166560369145959	0.616724396370351	0.537416526755563	0.799530593493695	1.53598853099664
CESC	-0.150500745926461	0.86027708830373	0.249128610164513	-0.604108640220316	0.545771415490026	0.527934081154866	1.40183537126721
CHOL	0.712896102640106	2.0398904443012	0.569531412449329	1.25172393841144	0.210670474142825	0.668068240768011	6.2286346975089
COAD	-0.0973201445449302	0.907265503532583	0.207502002743222	-0.469008218033255	0.639063761893512	0.604099356752164	1.36257502131049
ESCA	0.289068635516913	1.33518336638419	0.229842521325834	1.25768127607301	0.208507046446288	0.850939344593223	2.0949961159937
GBM	-0.157210964264969	0.854523765822509	0.23049320907577	-0.682063323667331	0.495198910651947	0.54391116084389	1.34251862973825
HNSC	0.181943259119617	1.19954612864545	0.122622242299266	1.48377044578564	0.137869830154774	0.943280185093467	1.52543320371529
KICH	0.5703219925566	1.76883651193848	0.681705172482596	0.836610921521445	0.402811304585612	0.464963861516398	6.72908770966138
KIRC	0.961314986546044	2.61513307819733	0.187131295067787	5.13711501968612	2.78988215712162e-07	1.81220509415033	3.77381182668419
KIRP	0.937189387232325	2.55279640374663	0.328087748059613	2.85652052774016	0.00428312307190202	1.34198413593217	4.85607042921935
LIHC	0.364982265066123	1.44048846095507	0.145958345083098	2.50059196586759	0.0123985936897975	1.08210602500318	1.91756349026761
LUAD	0.418482477074832	1.51965369562487	0.136513852248147	3.06549460134008	0.00217310300681971	1.16290390497915	1.98584538648337
LUSC	-0.188679769528054	0.828051631606715	0.146106648789078	-1.29138386987738	0.196570601036752	0.621857980765846	1.10261430393176
PAAD	0.410155536881293	1.50705216907903	0.270025737057271	1.5189497910501	0.128775134626542	0.887732178161843	2.55843631243447
PCPG	-1.33795216694331	0.262382434211815	1.27548935514892	-1.04897164491592	0.29419116895532	0.0215395313281822	3.19619497443947
PRAD	0.69073946374738	1.99519035882533	0.750010298320126	0.9209733056926	0.357064364073185	0.458748243274898	8.67749277802488
READ	0.471535786139582	1.60245332999345	0.444922796242888	1.05981484905117	0.289228840030166	0.669987066578695	3.83269588757873
SARC	0.0971852780573556	1.10206454308399	0.175030632588305	0.555247253696148	0.578725551619471	0.78202508729854	1.55307838181829
STAD	-0.0209971027396176	0.979221801625881	0.137167931089993	-0.15307588714626	0.878338431022077	0.748382320809748	1.28126401455066
THCA	-1.18458104299399	0.305874300839467	1.03408819634277	-1.14553192579072	0.251988878232164	0.0403019000030253	2.32145600845145
THYM	-0.627852640290236	0.533736695992872	0.571459777994356	-1.09868211984018	0.271906744255506	0.174140432182797	1.63589154499371
UCEC	0.215810566584154	1.24086729500469	0.166343609313929	1.29737816483752	0.19450110166956	0.895639834959941	1.71916386890174
