	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0285388622222921	0.971864524597044	0.127296249488414	-0.224192482787088	0.822607532480405	0.757270372183206	1.24727004893535
BRCA	0.0181074640401709	1.01827239817614	0.106870079822591	0.169434364325638	0.865454995419264	0.825840153100653	1.25554403354496
CESC	0.0733252705468295	1.0760804972875	0.181314438362808	0.404409440356352	0.685911659303958	0.754240121216175	1.53525277172392
CHOL	0.195212308640409	1.21556903490493	0.552914403427014	0.353060631863568	0.724042985936352	0.411280420585384	3.59270221645027
COAD	-0.153808878072552	0.857435880150499	0.202110814418114	-0.761012608431544	0.446649536389727	0.576985123548447	1.27420319617258
ESCA	-0.0125399717202608	0.987538326099239	0.208979264392904	-0.0600058180733392	0.95215100089006	0.655647617082877	1.48743306633815
GBM	0.108027908188005	1.11407883687424	0.185768295453312	0.581519617889562	0.560890300314129	0.774086805114726	1.60340112577829
HNSC	0.134237087164151	1.14366393554355	0.0951738302863991	1.41044115551725	0.158409460335084	0.949043928237837	1.37819457935057
KICH	0.838905528943694	2.31383316701288	0.750501203758822	1.11779371537595	0.263655106257007	0.531501212045984	10.0730229836346
KIRC	0.69554049971356	2.00479237085616	0.14743264295415	4.71768317908991	2.38545588659925e-06	1.50167001086056	2.6764817977152
KIRP	0.917026097491246	2.50183909016169	0.21622995376309	4.24097624557592	2.22549691546831e-05	1.63758595006127	3.82221087865762
LIHC	0.168396903427754	1.1834062154311	0.115914027880261	1.45277415087075	0.146286471185803	0.942904365627656	1.48525165623635
LUAD	0.182674305501514	1.20042337311684	0.128417283914371	1.42250559997299	0.154879526991814	0.933308997472861	1.5439862667424
LUSC	-0.224428942698371	0.798972347501997	0.120536506190083	-1.86191677353293	0.0626148223424799	0.630856945037594	1.01188837991601
PAAD	-0.125544576424018	0.882016446411605	0.184499157326907	-0.680461516697175	0.496212280941297	0.614371011562919	1.26625930764783
PCPG	0.480592054270573	1.61703148924006	0.799398761346424	0.601191892593271	0.547712183777173	0.337496301497897	7.74761330891268
PRAD	0.124487809279394	1.13256821355343	0.54312096669561	0.229208255458793	0.818707056445301	0.39062403664138	3.28374763975219
READ	-0.111355246332136	0.894620881684917	0.402968750846619	-0.276337175272732	0.78228910535753	0.406098521556364	1.97081860549353
SARC	0.0386515305823812	1.03940821855808	0.147041240965798	0.262861836097884	0.792657072512611	0.779155992573104	1.38658940584959
STAD	-0.166349846663268	0.846749949720823	0.152639301074822	-1.08982316803014	0.275791046325005	0.627810205084318	1.14204176922534
THCA	-0.399744985464965	0.670491009188622	0.640497730643437	-0.624116162071933	0.532551300490717	0.191073430926717	2.3528032716134
THYM	0.0360133776013078	1.03666971455229	0.57949953770777	0.0621456537200357	0.950446840823113	0.33294271016019	3.22783489253411
UCEC	-0.13735563739121	0.871660176051644	0.191751334412116	-0.716321676781672	0.473792744946431	0.598588229686542	1.26930571774232
