	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.188416433018863	1.20733618533059	0.112234741158266	1.678771038935	0.0931966749218661	0.968933189390791	1.50439749651379
BRCA	-0.0207660639594235	0.979448065973381	0.107137890169729	-0.193825582401572	0.846312454999506	0.793935964626997	1.20830716415486
CESC	0.0596443479699746	1.06145896936905	0.151132100150475	0.394650427742284	0.693100892066987	0.789331317704958	1.42740458712567
CHOL	0.151289183590568	1.16333302626496	0.445032102619399	0.339951169140609	0.733893301499605	0.486286311851765	2.78301835156596
COAD	0.0618464297980731	1.06379896436141	0.12371292692006	0.499918895606089	0.617132186699744	0.834747119091642	1.35570187748341
ESCA	-0.0215122323523364	0.978717505378561	0.207560449468294	-0.103643215301586	0.917452491464486	0.651600758677289	1.47005346844422
GBM	-0.102847514552864	0.902264545205018	0.166060387614795	-0.619338037385746	0.535693691301741	0.651602937887027	1.24935180951434
HNSC	0.0251206804869652	1.025438863519	0.0973724020527126	0.2579856299875	0.79641799753811	0.847278593365736	1.24106152456661
KICH	1.02823753195445	2.79613339358368	0.446375026074223	2.30352836044075	0.0212491333681127	1.1657428895815	6.70676357933485
KIRC	0.58792944960492	1.80025703081464	0.095763292682768	6.13940303360845	8.2832167046424e-10	1.49217807056678	2.17194277340273
KIRP	0.432480006501294	1.54107466351038	0.223795445086268	1.93247903832262	0.0533004068493212	0.993867872936586	2.38956422999818
LIHC	0.221530958358352	1.24798588321692	0.100485610061909	2.20460380567793	0.0274819084845546	1.02488742949113	1.5196486169042
LUAD	0.196928578809895	1.21765707108305	0.110336933141967	1.78479293562124	0.0742949096459004	0.980857748739505	1.51162464145688
LUSC	0.0414103097337844	1.04227967531757	0.118721755205792	0.348801360475204	0.727238441974459	0.825901258271598	1.31534721699486
PAAD	0.0496697139310387	1.05092393351287	0.163824218306867	0.303189079394842	0.761745770964177	0.762296376218936	1.44883427035074
PCPG	-2.18242087600094	0.112768202092564	0.849516143130353	-2.56901636731589	0.0101987640335898	0.0213342413733249	0.596068413245266
PRAD	0.0179147529002072	1.01807618464836	0.470050730501125	0.0381123817871916	0.969598079244827	0.405202737872255	2.55792723215738
READ	0.296272117725563	1.34483606077543	0.258525311381168	1.1460081650912	0.251791773620435	0.810237242946681	2.23216600582874
SARC	0.293878111992129	1.34162036626679	0.10334991880116	2.84352533026693	0.00446174627198222	1.09561515765408	1.64286263712876
STAD	0.0296755364169338	1.03012024321876	0.1348013050518	0.220142797620026	0.825759944590836	0.790942373525989	1.34162456205062
THCA	0.0750081547964837	1.07789294084636	0.467762603730472	0.160355176318678	0.872601296743308	0.430938581294473	2.69609926416051
THYM	-0.0780768084669956	0.924893384172274	0.439165643271074	-0.177784418392681	0.858892284724107	0.391086837631708	2.18730903158446
UCEC	-0.00798181313604288	0.992049956950601	0.130972701419366	-0.0609425708528807	0.951404945794798	0.767448739346839	1.28238287018791
