	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0411079669064448	1.04196459716687	0.186007839187852	0.221001260408865	0.825091451578887	0.723640397340133	1.50031732023219
BRCA	0.253921729736958	1.28907090440036	0.183418848866535	1.38438187408822	0.166241556088885	0.899809137018539	1.84672918756695
CESC	-0.336339772626771	0.71438033769156	0.296103625230075	-1.13588535893619	0.25600454658518	0.399839439475105	1.27636049998035
CHOL	0.0858729095223076	1.08966783309917	0.576105888180836	0.149057510579292	0.88150825290562	0.352299404980372	3.37036046529001
COAD	-0.122003063337706	0.885145656998408	0.255855197670607	-0.476844185494231	0.633473079170917	0.536080986006284	1.46150088243189
ESCA	0.303762470340722	1.35494717772189	0.419547967996316	0.724023219064643	0.469051480383009	0.595391303461442	3.08348785704999
GBM	-0.460943829011439	0.630688102777312	0.279440072687005	-1.64952658571533	0.0990398012432929	0.364716001144939	1.09062251652285
HNSC	0.306670500986136	1.35889314034694	0.186571915370955	1.64371202587695	0.100235700690769	0.942703249409958	1.95882486672001
KICH	-0.838205727730134	0.432485824992925	0.681789284643096	-1.22942050661433	0.218914185567889	0.113666316538727	1.64555335754268
KIRC	-0.97399361213898	0.377572146446471	0.188389594986043	-5.17010301025988	2.33964992278335e-07	0.261001158395147	0.546207253058867
KIRP	-0.272274795018621	0.761644936096025	0.458372628244583	-0.59400317174554	0.552509991583786	0.310159487536235	1.87033778424381
LIHC	0.0206346142054868	1.02084897976855	0.226232661167637	0.0912097046420573	0.927325963909018	0.655227186537514	1.59049053657486
LUAD	-0.202802058540221	0.816439832724584	0.203390685264191	-0.997105930769616	0.318713094575936	0.548021654968521	1.21632784839065
LUSC	0.0269693551477208	1.02733631971134	0.159035697353321	0.169580513032897	0.865340048907297	0.752213651820413	1.40308529530651
PAAD	-0.574673208315342	0.562888786128688	0.335070033011375	-1.71508386814118	0.0863298515101994	0.291884119847686	1.0855122427173
PCPG	2.03281445238461	7.63554602673045	1.98353202494377	1.02484579367567	0.305435954964097	0.156478465565996	372.585217495823
PRAD	-1.77122405356369	0.17012461967694	1.19617244274695	-1.48074306869681	0.138675052491247	0.0163148595005537	1.77398930215987
READ	0.541469372350385	1.71853016860557	0.596878487137113	0.907168517578018	0.364317689348509	0.53344944935162	5.53631828469807
SARC	-0.629298309683501	0.532965646662909	0.253714219504743	-2.4803430840885	0.0131256021583319	0.324143473332247	0.876316828479406
STAD	-0.0274552394886814	0.972918229896287	0.235379363728965	-0.11664250873027	0.907143350528218	0.613367927502342	1.54323341606561
THCA	0.185820508132896	1.20420609577781	0.964071610131801	0.192745545227176	0.847158252260136	0.182004270800659	7.96746315198651
THYM	-2.11653460085304	0.120448307577157	1.14270714952282	-1.85221086761982	0.0639955488277503	0.0128270448416058	1.13103173625338
UCEC	-0.461267825931951	0.630483794873562	0.219805981487953	-2.09852262804428	0.0358590031489511	0.409802626802864	0.970003093194886
