	SNP	Chromosome	Position	trait1
1	ENSG00000005812	13	77579388	3.0600335393459e-18
2	ENSG00000008952	3	169684422	4.41759959522602e-10
3	ENSG00000009307	1	115259533	7.9126964885835e-16
4	ENSG00000014123	6	96969683	3.39883292655576e-09
5	ENSG00000019995	10	126630691	2.66011373602905e-12
6	ENSG00000055211	6	149887429	1.52310601739563e-09
7	ENSG00000072364	5	132211070	1.85862311087123e-10
8	ENSG00000104695	8	30657096	1.70134472039661e-11
9	ENSG00000106993	9	4679558	7.33470825126246e-09
10	ENSG00000107854	10	93558068	6.38665802795235e-12
11	ENSG00000111897	6	122764498	1.56344940665612e-10
12	ENSG00000111911	6	126277926	3.24154234995221e-10
13	ENSG00000114784	3	40351174	4.27671899669657e-15
14	ENSG00000117758	1	28099693	2.38868448756978e-12
15	ENSG00000118564	4	15606161	9.70171134893712e-10
16	ENSG00000119414	9	127908851	1.56198722171158e-11
17	ENSG00000119801	2	30369806	4.6805262537969e-09
18	ENSG00000123091	1	51701942	2.76139979091738e-16
19	ENSG00000131381	3	15111579	5.87277061532952e-11
20	ENSG00000135070	9	88879460	6.58833258503669e-09
21	ENSG00000136100	13	52986736	3.644485469309e-15
22	ENSG00000137414	6	17600585	5.68653882342869e-10
23	ENSG00000138688	4	123073487	9.11678576694302e-09
24	ENSG00000147853	9	4711154	2.78041746355886e-12
25	ENSG00000148730	10	72164134	8.60116083636814e-09
26	ENSG00000159658	1	47124365	1.36562322751502e-12
27	ENSG00000163939	3	52579367	7.96171299810169e-09
28	ENSG00000164039	4	104000591	2.77616951599865e-09
29	ENSG00000166275	10	104613979	3.31067675937713e-11
30	ENSG00000169762	4	16162127	3.05916581744122e-13
31	ENSG00000171862	10	89622869	3.64959768459188e-11
32	ENSG00000180628	10	92979907	5.80798191160187e-29
33	ENSG00000189241	6	116597740	4.04473308736325e-12
34	ENSG00000215301	23	41192650	1.57762380830332e-12
