,Gene_symbol,Chromosome,Start.position,End.position,Ensembl,Gene.Symbol,Pearson,Spearman
8228,ARF5,7,127588345,127591705,ENST00000000233,ARF5,0.574946496,0.580435779
9483,M6PR,12,8940365,8949955,ENST00000000412,M6PR,0.649777317,0.651567549
7716,RALA,7,39623483,39708124,ENST00000005257,RALA,0.545815723,0.555498347
8244,DVL2,17,7225341,7234545,ENST00000005340,DVL2,0.599872801,0.580978622
4013,TSR3,16,1349240,1351911,ENST00000007390,TSR3,0.356874645,0.374827052
3518,NDUFAB1,16,23581002,23596356,ENST00000007516,NDUFAB1,0.318790372,0.344533926
759,RPS20,8,56072947,56074506,ENST00000009589,RPS20,0.118272704,0.08998113
7922,RANBP9,6,13621498,13711564,ENST00000011619,RANBP9,0.574871288,0.564553964
1534,SS18L2,3,42590838,42594996,ENST00000011691,SS18L2,0.143643568,0.184068245
7234,PPP5C,19,46346994,46390852,ENST00000012443,PPP5C,0.527142154,0.532585886
5793,VDAC3,8,42391903,42405897,ENST00000022615,VDAC3,0.50784231,0.465853498
NA,RTF2,20,56468585,56518886,ENST00000023939,NA,NA,NA
7151,B4GALT7,5,177600100,177610347,ENST00000029410,B4GALT7,0.523572285,0.529034521
5323,GABARAPL2,16,75566351,75577881,ENST00000037243,GABARAPL2,0.457295232,0.443108355
1010,MRPS10,6,42206801,42217865,ENST00000053468,MRPS10,0.111836076,0.123120199
9815,VAMP3,1,7771269,7781432,ENST00000054666,VAMP3,0.658144884,0.67281753
11166,RCN1,11,32090904,32105755,ENST00000054950,RCN1,0.765983635,0.765933397
7330,FAM168A,11,73400487,73598189,ENST00000064778,FAM168A,0.459844361,0.536542042
5504,CDC27,17,47117703,47189266,ENST00000066544,CDC27,0.462027023,0.450672679
299,RPL18,19,48615331,48617884,ENST00000084795,RPL18,0.01152206,-0.002641838
10613,EPN1,19,55675245,55695766,ENST00000085079,EPN1,0.760970898,0.725490196
3944,GPKOW,X,49113389,49123801,ENST00000156109,GPKOW,0.355447682,0.370558612
6561,KDM4B,19,4969121,5153595,ENST00000159111,KDM4B,0.549080522,0.500407082
7621,FOXJ2,12,8032703,8055503,ENST00000162391,FOXJ2,0.525738299,0.549348473
9622,GOLGA5,14,92794231,92839963,ENST00000163416,GOLGA5,0.686287351,0.660446683
4005,PPP2R5B,11,64924671,64934473,ENST00000164133,PPP2R5B,0.353862733,0.374153781
1927,REXO1,19,1815246,1848463,ENST00000170168,REXO1,0.239432636,0.222809339
8961,MKRN2,3,12557014,12583713,ENST00000170447,MKRN2,0.634237882,0.619831413
7299,LAPTM4A,2,20032650,20052028,ENST00000175091,LAPTM4A,0.620941661,0.535504952
819,NDUFB4,3,120596309,120602500,ENST00000184266,NDUFB4,0.092310258,0.097967979
6392,ERLEC1,2,53787080,53818819,ENST00000185150,ERLEC1,0.538412996,0.493040793
998,TMEM131,2,97756340,97995891,ENST00000186436,TMEM131,0.095824287,0.121008279
9663,PLOD1,1,11934753,11975537,ENST00000196061,PLOD1,0.671852629,0.663052802
2292,RPS5,19,58387269,58394803,ENST00000196551,RPS5,0.276411938,0.255727234
4734,RRN3,16,15060022,15094317,ENST00000198767,RRN3,0.420553127,0.413891697
5596,DIMT1,5,62387254,62403933,ENST00000199320,DIMT1,0.501674898,0.455492237
5859,EIF2AK1,7,6022244,6059230,ENST00000199389,EIF2AK1,0.472097041,0.468753578
1064,MRPL28,16,367384,370527,ENST00000199706,MRPL28,0.127623663,0.130241554
6970,TMEM230,20,5099840,5113103,ENST00000202834,TMEM230,0.489738837,0.519580671
1776,PDCD7,15,65117379,65133836,ENST00000204549,PDCD7,0.232122974,0.209361408
3148,GNPTG,16,1351923,1364113,ENST00000204679,GNPTG,0.337709801,0.320465905
2825,SPAG7,17,4959228,4967872,ENST00000206020,SPAG7,0.327117598,0.299035337
4924,TMEM101,17,44011191,44014977,ENST00000206380,TMEM101,0.617835801,0.425390133
8222,PSME1,14,24136158,24138967,ENST00000206451,PSME1,0.603616846,0.58032439
8110,DHPS,19,12675721,12681902,ENST00000210060,DHPS,0.595549753,0.574274387
6708,PSMD5,9,120816053,120842984,ENST00000210313,PSMD5,0.583687959,0.50832642
7306,TMED1,19,10832438,10836290,ENST00000214869,TMED1,0.547799759,0.535675525
861,BCL7C,16,30887795,30894960,ENST00000215115,BCL7C,0.070096514,0.103600392
584,NDUFB7,19,14566078,14572062,ENST00000215565,NDUFB7,0.019702232,0.058486101
3400,TIMM13,19,2425624,2427894,ENST00000215570,TIMM13,0.383583292,0.337917502
4925,CDC34,19,531712,542092,ENST00000215574,CDC34,0.426471478,0.425516539
7855,SNAP29,22,20858983,20891218,ENST00000215730,SNAP29,0.657663344,0.561853611
NA.1,MIF,22,23894004,23895226,ENST00000215754,NA,NA,NA
415,SNRPD3,22,24555503,24572772,ENST00000215829,SNRPD3,0.015858607,0.024854948
5816,MAPK1,22,21754500,21867629,ENST00000215832,MAPK1,0.520989622,0.466797012
4043,CBY1,22,38656655,38673854,ENST00000216029,CBY1,0.489648393,0.376528326
913,TOMM22,22,38681948,38685421,ENST00000216034,TOMM22,0.090322098,0.109817478
3463,RTCB,22,32387582,32412255,ENST00000216038,RTCB,0.390594539,0.341159053
5709,JOSD1,22,38685543,38700667,ENST00000216039,JOSD1,0.48021628,0.461469962
6741,GTPBP1,22,38705723,38733587,ENST00000216044,GTPBP1,0.541227388,0.509729589
4083,TAB1,22,39399741,39431882,ENST00000216160,TAB1,0.362818062,0.379246693
8954,MYH9,22,36281277,36388067,ENST00000216181,MYH9,0.635187888,0.619724019
7654,ST13,22,40824535,40857022,ENST00000216218,ST13,0.547767326,0.551223278
573,RBX1,22,40951359,40973309,ENST00000216225,RBX1,0.01590612,0.057013738
1324,PHF5A,22,41459717,41468725,ENST00000216252,PHF5A,0.181189439,0.162920733
2719,PMM1,22,41576894,41589890,ENST00000216259,PMM1,0.284007112,0.292105269
5889,CERK,22,46684411,46738261,ENST00000216264,CERK,0.431687281,0.470477603
5158,PAPOLA,14,96502373,96567111,ENST00000216277,PAPOLA,0.42877334,0.436086404
5726,SOS2,14,50117120,50231558,ENST00000216373,SOS2,0.235583301,0.462390458
1145,PIGH,14,67589311,67600287,ENST00000216452,PIGH,0.226745375,0.140241677
1057,PSMA3,14,58244831,58272007,ENST00000216455,PSMA3,0.149234299,0.129127432
4869,AHSA1,14,77458030,77469474,ENST00000216479,AHSA1,0.446910886,0.42132576
NA.2,PABPN1,14,23321289,23326185,ENST00000216727,NA,NA,NA
6890,PSME2,14,24143365,24147221,ENST00000216802,PSME2,0.533215332,0.516012239
